date,content
09/03/2020,"('people', 48)
('trump', 37)
('i’m', 26)
('quarantine', 25)
('it’s', 25)
('@realdonaldtrump', 14)
('it.', 14)
('flu', 14)
('weeks', 13)
('#covid19', 13)
('spread', 12)
('hands', 12)
('that’s', 11)
('doesn’t', 11)
('safe', 11)
('you’re', 11)
('stay', 11)
('gonna', 11)
('mask', 10)
('high', 10)
"
10/03/2020,"('people', 35)
('i’m', 29)
('it’s', 28)
('#covid19', 19)
('quarantine', 17)
('y’all', 16)
('cases', 14)
('good', 12)
('spread', 11)
('shit', 10)
('trump', 10)
('health', 9)
('live', 9)
('community', 9)
('work', 9)
('hands', 9)
('hope', 9)
('worldwide', 9)
('public', 8)
('death', 8)
"
11/03/2020,"('people', 42)
('i’m', 30)
('it’s', 25)
('#covid19', 23)
('trump', 23)
('march', 15)
('classes', 15)
('die', 14)
('health', 14)
('cancel', 14)
('school', 14)
('it.', 13)
('spread', 13)
('day', 13)
('online', 13)
('care', 12)
('pandemic', 12)
('work', 11)
('fans', 11)
('3', 10)
"
12/03/2020,"('#covid_19', 45)
('i’m', 43)
('people', 37)
('it’s', 30)
('fuck', 19)
('gonna', 14)
('stay', 14)
('quarantine', 14)
('health', 13)
('cancelled', 13)
('shit', 13)
('cancel', 13)
('y’all', 13)
('school', 13)
('day', 12)
('work', 11)
('2', 11)
('#coronaviruspandemic', 11)
('tested', 11)
('well', 11)
"
13/03/2020,"('i’m', 38)
('people', 31)
('quarantine', 28)
('it’s', 26)
('help', 21)
('toilet', 18)
('#covid_19', 16)
('#covid19', 15)
('trump', 15)
('stay', 14)
('day', 13)
('gonna', 13)
('paper', 12)
('good', 12)
('friday', 11)
('school', 11)
('stores', 10)
('flu', 10)
('response', 10)
('test', 10)
"
14/03/2020,"('people', 44)
('negative', 39)
('quarantine', 38)
('trump', 35)
('tested', 33)
('it’s', 31)
('i’m', 24)
('#covidー19', 20)
('day', 20)
('#covid19', 16)
('president', 15)
('tests', 14)
('good', 14)
('house', 14)
('👏', 14)
('@realdonaldtrump', 13)
('shit', 13)
('test', 13)
('god', 12)
('legal', 11)
"
15/03/2020,"('people', 52)
('quarantine', 47)
('i’m', 38)
('it’s', 26)
('trump', 20)
('social', 19)
('good', 18)
('weeks', 16)
('#covidー19', 16)
('gonna', 15)
('cases', 15)
('day', 13)
('spread', 12)
('that’s', 11)
('safe', 11)
('work', 11)
('health', 11)
('shut', 10)
('can’t', 10)
('#covid19', 10)
"
16/03/2020,"('quarantine', 89)
('i’m', 38)
('people', 37)
('day', 24)
('it’s', 20)
('spread', 16)
('work', 15)
('y’all', 15)
('help', 15)
('stay', 15)
('march', 14)
('chinese', 13)
('health', 13)
('can’t', 13)
('2', 13)
('#covid19', 13)
('shit', 12)
('gonna', 11)
('feel', 11)
('it.', 11)
"
17/03/2020,"('quarantine', 101)
('day', 45)
('people', 41)
('i’m', 38)
('it’s', 25)
('#covid19', 22)
('can’t', 15)
('shit', 14)
('stay', 13)
('cases', 11)
('positive', 11)
('happy', 10)
('trump', 10)
('home.', 10)
('better', 9)
('bc', 9)
('gonna', 9)
('#quarantine', 9)
('damn', 9)
('tested', 9)
"
18/03/2020,"('quarantine', 96)
('people', 41)
('day', 37)
('i’m', 30)
('it’s', 29)
('#covid19', 26)
('2', 22)
('chinese', 22)
('china', 22)
('#socialdistancing', 15)
('@realdonaldtrump', 15)
('spread', 14)
('good', 13)
('can’t', 12)
('health', 12)
('#covid_19', 12)
('social', 11)
('i’ve', 11)
('stay', 10)
('#quarantine', 10)
"
19/03/2020,"('quarantine', 96)
('day', 40)
('i’m', 33)
('people', 26)
('positive', 24)
('it’s', 20)
('marcus', 19)
('tested', 18)
('2', 18)
('smart', 17)
('chinese', 12)
('trump', 12)
('can’t', 12)
('#covid19', 12)
('stay', 12)
('y’all', 11)
('spread', 11)
('quarantine:', 11)
('gonna', 11)
('3', 11)
"
20/03/2020,"('quarantine', 101)
('#covid_19', 63)
('day', 37)
('people', 32)
('it’s', 28)
('i’m', 25)
('health', 19)
('work', 18)
('stay', 17)
('@googlenews', 14)
('2', 13)
('good', 12)
('trump', 11)
('quarantine.', 11)
('things', 11)
('weeks', 10)
('shit', 10)
('#quarantine', 10)
('help', 10)
('social', 10)
"
21/03/2020,"('quarantine', 141)
('day', 43)
('#covid_19', 35)
('i’m', 28)
('people', 28)
('i’ve', 18)
('help', 16)
('#quarantine', 16)
('it’s', 16)
('trump', 16)
('social', 15)
('#covid19', 14)
('mask', 13)
('good', 13)
('quarantine:', 13)
('quarantine.', 13)
('watching', 13)
('love', 13)
('week', 11)
('gonna', 11)
"
