date,Fear,Joy,Sadness,Surprise
2020_05_01,0.536,0.292,0.072,0.1
2020_05_02,0.556,0.272,0.08,0.092
2020_05_03,0.574,0.278,0.078,0.07
2020_05_04,0.572,0.226,0.07,0.132
2020_05_05,0.58,0.262,0.058,0.1
2020_05_06,0.564,0.264,0.09,0.082
2020_05_07,0.552,0.274,0.09,0.084
2020_05_08,0.548,0.296,0.066,0.09
2020_05_09,0.548,0.306,0.072,0.074
2020_05_10,0.56,0.28,0.082,0.078
2020_05_11,0.622,0.258,0.048,0.072
2020_05_12,0.522,0.304,0.092,0.082
2020_05_13,0.592,0.276,0.058,0.074
2020_05_14,0.554,0.294,0.068,0.084
2020_05_15,0.606,0.236,0.1,0.058
2020_05_16,0.512,0.29,0.106,0.092
2020_05_17,0.57,0.25,0.08,0.1
2020_05_18,0.604,0.218,0.096,0.082
2020_05_19,0.592,0.224,0.096,0.088
2020_05_20,0.534,0.304,0.086,0.076
2020_05_21,0.54,0.312,0.09,0.058
2020_05_22,0.566,0.262,0.108,0.064
2020_05_23,0.484,0.39,0.066,0.06
2020_05_24,0.534,0.324,0.07,0.072
2020_05_25,0.566,0.272,0.064,0.098
2020_05_26,0.584,0.242,0.076,0.098
2020_05_27,0.546,0.29,0.086,0.078
2020_05_28,0.572,0.256,0.066,0.106
2020_05_29,0.57,0.274,0.096,0.06
2020_05_30,0.584,0.254,0.086,0.076
2020_05_31,0.574,0.224,0.132,0.07
2020_06_01,0.628,0.2,0.072,0.1
2020_06_02,0.566,0.266,0.088,0.08
2020_06_03,0.654,0.202,0.064,0.08
2020_06_04,0.616,0.226,0.078,0.08
2020_06_05,0.59,0.244,0.07,0.096
2020_06_06,0.556,0.268,0.084,0.092
2020_06_07,0.548,0.254,0.084,0.114
2020_06_08,0.564,0.28,0.072,0.084
2020_06_09,0.556,0.25,0.096,0.098
2020_06_10,0.586,0.282,0.066,0.066
2020_06_11,0.576,0.254,0.102,0.068
2020_06_12,0.564,0.272,0.078,0.086
2020_06_13,0.568,0.288,0.058,0.086
2020_06_14,0.618,0.244,0.08,0.058
2020_06_15,0.554,0.264,0.08,0.102
2020_06_16,0.692,0.176,0.078,0.054
2020_06_17,0.602,0.256,0.062,0.08
2020_06_18,0.554,0.278,0.09,0.078
2020_06_19,0.538,0.302,0.088,0.072
2020_06_20,0.488,0.358,0.072,0.082
2020_06_21,0.504,0.328,0.074,0.094
2020_06_22,0.58,0.27,0.082,0.068
2020_06_23,0.614,0.254,0.056,0.076
2020_06_24,0.522,0.298,0.09,0.09
2020_06_25,0.524,0.262,0.1,0.114
2020_06_26,0.55,0.264,0.102,0.084
2020_06_27,0.554,0.276,0.078,0.092
2020_06_28,0.624,0.204,0.106,0.066
2020_06_29,0.554,0.27,0.08,0.096
2020_06_30,0.568,0.254,0.088,0.09
2020_07_01,0.484,0.32,0.1,0.096
2020_07_02,0.526,0.264,0.106,0.104
2020_07_03,0.508,0.308,0.074,0.11
2020_07_04,0.518,0.334,0.05,0.098
2020_07_05,0.594,0.256,0.066,0.084
2020_07_06,0.554,0.244,0.092,0.11
2020_07_07,0.576,0.224,0.108,0.092
2020_07_08,0.562,0.284,0.074,0.08
2020_07_09,0.544,0.284,0.076,0.096
2020_07_10,0.566,0.27,0.076,0.088
2020_07_11,0.316,0.374,0.106,0.204
2020_07_12,0.53,0.308,0.062,0.1
2020_07_13,0.564,0.28,0.076,0.08
2020_07_14,0.552,0.284,0.096,0.068
2020_07_15,0.59,0.264,0.064,0.082
2020_07_16,0.55,0.252,0.094,0.104
2020_07_17,0.522,0.282,0.088,0.108
2020_07_18,0.552,0.276,0.104,0.068
2020_07_19,0.52,0.316,0.082,0.082
2020_07_20,0.55,0.272,0.07,0.108
2020_07_21,0.576,0.252,0.096,0.076
2020_07_22,0.532,0.286,0.086,0.096
2020_07_23,0.542,0.28,0.09,0.088
2020_07_24,0.546,0.254,0.096,0.104
2020_07_25,0.48,0.294,0.112,0.114
2020_07_26,0.474,0.31,0.11,0.106
2020_07_27,0.514,0.276,0.102,0.108
2020_07_28,0.458,0.312,0.09,0.14
2020_07_29,0.534,0.286,0.084,0.096
2020_07_30,0.43,0.39,0.092,0.088
2020_07_31,0.466,0.34,0.088,0.106
2020_08_01,0.51,0.318,0.082,0.09
2020_08_02,0.522,0.29,0.08,0.108
2020_08_03,0.542,0.29,0.086,0.082
2020_08_04,0.53,0.32,0.068,0.082
2020_08_05,0.496,0.324,0.08,0.1
2020_08_06,0.49,0.304,0.102,0.104
2020_08_07,0.518,0.296,0.1,0.086
2020_08_08,0.458,0.332,0.128,0.082
2020_08_09,0.51,0.262,0.122,0.106
2020_08_10,0.486,0.32,0.108,0.086
2020_08_11,0.526,0.26,0.102,0.112
2020_08_12,0.512,0.314,0.096,0.078
2020_08_13,0.494,0.33,0.086,0.09
2020_08_14,0.47,0.334,0.086,0.11
2020_08_15,0.474,0.32,0.122,0.084
2020_08_16,0.45,0.27,0.156,0.124
2020_08_17,0.478,0.326,0.096,0.1
2020_08_18,0.496,0.298,0.112,0.094
2020_08_19,0.518,0.312,0.108,0.062
2020_08_20,0.518,0.282,0.102,0.098
2020_08_21,0.48,0.322,0.108,0.09
2020_08_22,0.546,0.274,0.092,0.088
2020_08_23,0.54,0.26,0.088,0.112
2020_08_24,0.508,0.332,0.084,0.076
2020_08_25,0.438,0.342,0.098,0.122
2020_08_26,0.5,0.304,0.104,0.092
2020_08_27,0.556,0.262,0.102,0.08
2020_08_28,0.578,0.228,0.118,0.076
2020_08_29,0.522,0.264,0.1,0.114
2020_08_30,0.532,0.268,0.122,0.078
2020_08_31,0.508,0.244,0.164,0.084
2020_09_01,0.52,0.294,0.098,0.088
2020_09_02,0.534,0.252,0.108,0.106
2020_09_03,0.506,0.298,0.116,0.08
2020_09_04,0.502,0.302,0.11,0.086
2020_09_05,0.518,0.282,0.108,0.092
2020_09_06,0.512,0.3,0.1,0.088
2020_09_07,0.544,0.292,0.084,0.08
2020_09_08,0.538,0.29,0.088,0.084
2020_09_09,0.612,0.226,0.094,0.068
2020_09_10,0.556,0.29,0.07,0.084
2020_09_11,0.554,0.264,0.094,0.088
2020_09_12,0.576,0.252,0.102,0.07
2020_09_13,0.616,0.198,0.08,0.106
2020_09_14,0.552,0.27,0.07,0.108
2020_09_15,0.5,0.27,0.138,0.092
2020_09_16,0.508,0.302,0.104,0.086
2020_09_17,0.58,0.238,0.096,0.086
2020_09_18,0.514,0.296,0.102,0.088
2020_09_19,0.52,0.278,0.102,0.1
2020_09_20,0.566,0.284,0.084,0.066
2020_09_21,0.562,0.298,0.07,0.07
2020_09_22,0.534,0.282,0.094,0.09
2020_09_23,0.508,0.29,0.124,0.078
2020_09_24,0.51,0.264,0.118,0.108
2020_09_25,0.508,0.264,0.146,0.082
2020_09_26,0.504,0.28,0.132,0.084
2020_09_27,0.506,0.3,0.094,0.1
2020_09_28,0.48,0.314,0.092,0.114
2020_09_29,0.492,0.332,0.07,0.106
2020_09_30,0.472,0.366,0.078,0.084
2020_10_01,0.56,0.264,0.106,0.07
2020_10_02,0.532,0.232,0.098,0.138
2020_10_03,0.512,0.272,0.104,0.112
2020_10_04,0.558,0.24,0.1,0.102
2020_10_05,0.53,0.26,0.12,0.09
2020_10_06,0.522,0.29,0.09,0.098
2020_10_07,0.542,0.26,0.1,0.098
2020_10_08,0.572,0.252,0.096,0.08
2020_10_09,0.55,0.27,0.104,0.076
2020_10_10,0.554,0.248,0.11,0.088
2020_10_11,0.526,0.286,0.102,0.086
2020_10_12,0.566,0.268,0.084,0.082
2020_10_13,0.536,0.264,0.08,0.12
2020_10_14,0.534,0.262,0.098,0.106
2020_10_15,0.578,0.286,0.072,0.064
2020_10_16,0.508,0.294,0.098,0.1
2020_10_17,0.501039501039501,0.27442827442827444,0.12681912681912683,0.09771309771309772
2020_10_18,0.554,0.28,0.084,0.082
2020_10_19,0.556,0.286,0.086,0.072
2020_10_20,0.566,0.246,0.094,0.094
2020_10_21,0.536,0.302,0.072,0.09
2020_10_22,0.56,0.226,0.064,0.15
2020_10_23,0.542,0.274,0.078,0.106
2020_10_24,0.514,0.288,0.102,0.096
2020_10_25,0.522,0.304,0.084,0.09
2020_10_26,0.592,0.27,0.068,0.07
2020_10_27,0.536,0.262,0.096,0.106
2020_10_28,0.52,0.28,0.096,0.104
2020_10_29,0.498,0.318,0.08,0.104
2020_10_30,0.556,0.24,0.108,0.096
2020_10_31,0.574,0.278,0.068,0.08
2020_11_01,0.544,0.236,0.118,0.102
2020_11_02,0.556,0.27,0.086,0.088
2020_11_03,0.508,0.298,0.114,0.08
2020_11_04,0.502,0.322,0.094,0.082
2020_11_05,0.538,0.26,0.1,0.102
2020_11_06,0.55,0.284,0.082,0.084
2020_11_07,0.53,0.296,0.094,0.08
2020_11_08,0.534,0.252,0.096,0.118
2020_11_09,0.566,0.29,0.054,0.09
2020_11_10,0.538,0.3,0.07,0.092
2020_11_11,0.58,0.258,0.072,0.09
2020_11_12,0.484,0.324,0.104,0.088
2020_11_13,0.538,0.284,0.092,0.086
2020_11_14,0.452,0.41,0.082,0.056
2020_11_15,0.556,0.256,0.106,0.082
2020_11_16,0.572,0.3,0.05,0.078
2020_11_17,0.5,0.216,0.11,0.174
2020_11_18,0.582,0.26,0.074,0.084
2020_11_19,0.58,0.252,0.086,0.082
2020_11_20,0.606,0.23,0.092,0.072
2020_11_21,0.61,0.226,0.088,0.076
2020_11_22,0.634,0.21,0.08,0.076
2020_11_23,0.578,0.272,0.072,0.078
2020_11_24,0.596,0.252,0.07,0.082
2020_11_25,0.576,0.248,0.09,0.086
2020_11_26,0.548,0.278,0.08,0.094
2020_11_27,0.588,0.236,0.106,0.07
2020_11_28,0.498,0.32,0.078,0.104
2020_11_29,0.592,0.238,0.086,0.084
2020_11_30,0.582,0.22,0.112,0.086
2020_12_01,0.482,0.298,0.108,0.112
2020_12_02,0.528,0.316,0.072,0.084
2020_12_03,0.552,0.266,0.096,0.086
2020_12_04,0.546,0.248,0.118,0.088
2020_12_05,0.588,0.274,0.054,0.084
2020_12_06,0.518,0.33,0.086,0.066
2020_12_07,0.538,0.294,0.076,0.092
2020_12_08,0.486,0.386,0.062,0.066
2020_12_09,0.562,0.28,0.088,0.07
2020_12_10,0.57,0.28,0.074,0.076
2020_12_11,0.562,0.284,0.084,0.07
2020_12_12,0.61,0.234,0.072,0.084
2020_12_13,0.544,0.254,0.078,0.124
2020_12_14,0.54,0.282,0.076,0.102
