date,content
02/04/2020,"('singapore', 229)
('cases', 61)
('singapore,', 57)
('south', 53)
('korea', 44)
('people', 43)
('study', 42)
('#singapore', 34)
('patients', 34)
('10', 33)
('#covid19', 33)
('49', 32)
('quarantine', 32)
('china', 31)
('symptoms', 29)
('countries', 27)
('coronavirus:', 26)
('sg', 25)
('caught', 25)
('korea,', 24)
"
03/04/2020,"('singapore', 282)
('singapore,', 47)
('cases', 43)
('sg', 42)
('mask', 39)
('spread', 36)
('people', 35)
('south', 34)
('#covid19', 32)
('#singapore', 31)
('masks', 30)
('workplaces', 29)
('contact', 29)
('schools', 28)
('live', 26)
('measures', 26)
('india', 26)
('fight', 25)
('close', 25)
('quarantine', 25)
"
04/04/2020,"('singapore', 239)
('cases', 78)
('sg', 73)
('mask', 60)
('75', 56)
('masks', 43)
('live', 42)
('4th', 41)
('#staysafe', 41)
('#betfair', 40)
('lay', 40)
('nz', 40)
('za', 40)
('#horseracing', 40)
('#greyhounds', 40)
('wearing', 39)
('singapore,', 39)
('people', 38)
('south', 36)
('#covid19', 35)
"
05/04/2020,"('singapore', 225)
('sg', 73)
('cases', 71)
('singapore,', 47)
('south', 47)
('mask', 45)
('120', 37)
('people', 37)
('#singapore', 35)
('quarantine', 34)
('live', 28)
('daily', 27)
('korea', 26)
('fight', 26)
('#covid19', 25)
('5th', 24)
('masks', 23)
('#betfair', 23)
('(us)', 23)
('lay', 23)
"
06/04/2020,"('singapore', 217)
('cases', 60)
('singapore,', 57)
('south', 46)
('sg', 45)
('#covid19', 44)
('#singapore', 39)
('korea,', 38)
('lockdown', 37)
('countries', 37)
('hong', 36)
('66', 34)
('mask', 28)
('2', 27)
('migrant', 26)
('taiwan', 26)
('kong,', 25)
('coronavirus:', 24)
('people', 24)
('workers', 23)
"
07/04/2020,"('singapore', 244)
('|', 70)
('cases', 67)
('#covid19', 49)
('quarantine', 39)
('south', 39)
('sg', 38)
('106', 36)
('#singapore', 32)
('singapore,', 32)
('people', 30)
('korea', 29)
('fight', 28)
('workers', 22)
('measures', 21)
('live', 20)
('covid-19:', 20)
('linked', 20)
('spread', 20)
('hotel', 19)
"
08/04/2020,"('singapore', 264)
('surge', 72)
('fears', 65)
('post-lockdown', 63)
('cases', 60)
('raises', 59)
('sg', 55)
('breakouts', 42)
('#singapore', 39)
('singapore,', 36)
('wave', 36)
('|', 34)
('#covid19', 34)
('south', 32)
('countries', 31)
('people', 27)
('increase', 26)
('markets', 25)
('#staysafe', 24)
('news', 24)
"
09/04/2020,"('singapore', 278)
('cases', 147)
('hong', 91)
('kong,', 67)
('taiwan', 53)
('spiked', 51)
('singapore,', 43)
('#singapore', 39)
('287', 33)
('reports', 29)
('people', 29)
('|', 28)
('sg', 26)
('daily', 24)
('#covid19', 24)
('social', 22)
('countries', 22)
('singapore.', 21)
('kong', 21)
('quarantine', 21)
"
10/04/2020,"('singapore', 241)
('coronavirus:', 92)
('sg', 62)
('zoom', 61)
('teachers', 60)
('cases', 57)
('hong', 52)
(""'lewd'"", 52)
('news', 48)
('singapore,', 41)
(""singapore's"", 37)
('incidents', 37)
('bbc', 37)
('worry', 36)
('wave', 34)
('people', 31)
('second', 27)
('surge?', 27)
('kong,', 25)
('taiwan', 25)
"
11/04/2020,"('singapore', 267)
('cases', 89)
('191', 63)
('singapore,', 62)
('coronavirus:', 48)
('death', 43)
('south', 42)
('country', 39)
('sg', 36)
('hong', 34)
('taiwan', 31)
('#covid19', 30)
('#singapore', 29)
('locking', 28)
('wave', 27)
('control.', 27)
('lockdown', 26)
('korea', 25)
('spread', 24)
('people', 23)
"
