date,Fear,Joy,Sadness,Surprise
2020_09_03,0.506,0.214,0.122,0.158
2020_09_04,0.486,0.238,0.126,0.15
2020_09_05,0.484,0.226,0.172,0.118
2020_09_06,0.526,0.17,0.176,0.128
2020_09_07,0.544,0.192,0.128,0.136
2020_09_08,0.54,0.208,0.154,0.098
2020_09_09,0.628,0.15,0.11,0.112
2020_09_10,0.586,0.172,0.112,0.13
2020_09_11,0.53,0.178,0.158,0.134
2020_09_12,0.512,0.178,0.182,0.128
2020_09_13,0.538,0.134,0.162,0.166
2020_09_14,0.546,0.176,0.144,0.134
2020_09_15,0.526,0.188,0.168,0.118
2020_09_16,0.598,0.168,0.1,0.134
2020_09_17,0.578,0.196,0.102,0.124
2020_09_18,0.482,0.21,0.174,0.134
2020_09_19,0.462,0.2,0.174,0.164
2020_09_20,0.488,0.2,0.16,0.152
2020_09_21,0.528,0.174,0.162,0.136
2020_09_22,0.552,0.156,0.156,0.136
2020_09_23,0.548,0.18,0.136,0.136
2020_09_24,0.52,0.204,0.122,0.154
2020_09_25,0.53,0.208,0.106,0.156
2020_09_26,0.538,0.166,0.176,0.12
2020_09_27,0.492,0.216,0.172,0.12
2020_09_28,0.484,0.212,0.154,0.15
2020_09_29,0.5,0.204,0.13,0.166
2020_09_30,0.492,0.202,0.162,0.144
2020_10_01,0.444,0.242,0.172,0.142
2020_10_02,0.6,0.084,0.144,0.172
2020_10_03,0.588,0.11,0.148,0.154
2020_10_04,0.574,0.116,0.124,0.186
2020_10_05,0.594,0.118,0.142,0.146
2020_10_06,0.47,0.118,0.132,0.28
2020_10_07,0.596,0.136,0.134,0.134
2020_10_08,0.506,0.148,0.166,0.18
2020_10_09,0.544,0.154,0.132,0.17
2020_10_10,0.51,0.18,0.14,0.17
2020_10_11,0.526,0.15,0.182,0.142
2020_10_12,0.564,0.174,0.13,0.132
2020_10_13,0.45,0.172,0.208,0.17
2020_10_14,0.476,0.182,0.156,0.186
2020_10_15,0.536,0.174,0.142,0.148
2020_10_16,0.518,0.216,0.124,0.142
2020_10_17,0.504,0.16,0.17,0.166
2020_10_18,0.536,0.17,0.146,0.148
2020_10_19,0.518,0.21,0.132,0.14
2020_10_20,0.508,0.186,0.148,0.158
2020_10_21,0.518,0.204,0.18,0.098
2020_10_22,0.504,0.218,0.122,0.156
2020_10_23,0.514,0.2,0.138,0.148
2020_10_24,0.552,0.142,0.124,0.182
2020_10_25,0.512,0.154,0.17,0.164
2020_10_26,0.512,0.2,0.144,0.144
2020_10_27,0.336,0.416,0.138,0.11
2020_10_28,0.526,0.204,0.146,0.124
2020_10_29,0.542,0.178,0.132,0.148
2020_10_30,0.52,0.172,0.164,0.144
2020_10_31,0.48,0.176,0.136,0.208
2020_11_01,0.528,0.144,0.152,0.176
2020_11_02,0.58,0.166,0.128,0.126
2020_11_03,0.432,0.206,0.16,0.202
2020_11_04,0.47,0.138,0.202,0.19
2020_11_05,0.49,0.17,0.194,0.146
2020_11_06,0.508,0.176,0.16,0.156
2020_11_07,0.48,0.134,0.188,0.198
2020_11_08,0.46,0.224,0.166,0.15
2020_11_09,0.508,0.194,0.146,0.152
2020_11_10,0.482,0.216,0.176,0.126
2020_11_11,0.58,0.164,0.126,0.13
2020_11_12,0.548,0.172,0.144,0.136
2020_11_13,0.56,0.158,0.162,0.12
2020_11_14,0.532,0.184,0.146,0.138
2020_11_15,0.584,0.184,0.126,0.106
2020_11_16,0.542,0.236,0.124,0.098
2020_11_17,0.51,0.202,0.154,0.134
